"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1,551116542E0;5,936137185E-1;-6,914760525E0;-1,804803337E0;7,171025412E0
1,561088542E0;8,791323817E-1;-6,863740645E0;-1,684286960E0;7,121841893E0
1,571060542E0;1,119187189E0;-6,894287084E0;-1,676399651E0;7,182902627E0
1,581032542E0;1,291780038E0;-7,015646630E0;-1,583062302E0;7,307125259E0
1,591004542E0;1,220001665E0;-6,974601515E0;-1,538683689E0;7,245758611E0
1,600976542E0;1,251778359E0;-6,950521511E0;-1,593658041E0;7,239920186E0
1,610948542E0;1,450953381E0;-7,130153823E0;-1,615779228E0;7,453529484E0
1,620920542E0;1,506623844E0;-7,289686916E0;-1,699513110E0;7,635299310E0
1,630892542E0;1,636459660E0;-7,436302341E0;-1,775423418E0;7,818485853E0
1,640864542E0;1,788372223E0;-7,573720679E0;-1,849268489E0;7,998707025E0
1,650836542E0;1,949574257E0;-7,650719739E0;-1,824764562E0;8,103339929E0
1,660808542E0;2,098996930E0;-7,700769566E0;-1,862192005E0;8,196059973E0
1,670780542E0;2,428830179E0;-7,837260536E0;-1,899618424E0;8,422019883E0
1,680751542E0;2,700510529E0;-8,126186664E0;-1,822581797E0;8,754968374E0
1,690723542E0;2,832653217E0;-8,295502149E0;-1,833525592E0;8,955506476E0
1,700695542E0;2,996970794E0;-8,384442392E0;-1,783260148E0;9,080788783E0
1,710667542E0;3,125694323E0;-8,524818252E0;-1,785932034E0;9,253758397E0
1,720639542E0;3,173542382E0;-8,707434399E0;-1,858048522E0;9,452149457E0
1,730611542E0;3,363729795E0;-8,938661372E0;-1,877979926E0;9,733506761E0
1,740583542E0;3,573700385E0;-9,332764292E0;-1,802453488E0;1,015483443E1
1,750555542E0;3,650027600E0;-9,818581374E0;-1,824824935E0;1,063283724E1
1,760527542E0;3,968934449E0;-1,026550044E1;-1,806044117E0;1,115323878E1
1,770499542E0;4,648539952E0;-1,099460964E1;-1,561968764E0;1,203869225E1
1,780471542E0;5,051534148E0;-1,185065604E1;-9,293555787E-1;1,291587193E1
1,790443542E0;4,928291214E0;-1,253038785E1;-3,690493548E-1;1,346977622E1
1,800415542E0;5,036665263E0;-1,285009372E1;3,524599269E-1;1,380641639E1
1,810386542E0;5,685052482E0;-1,284967155E1;1,100665549E0;1,409415997E1
1,820358542E0;6,441210317E0;-1,242048007E1;1,763039307E0;1,410197941E1
1,830330542E0;7,586809087E0;-1,173939405E1;2,468049501E0;1,419381250E1
1,840302542E0;8,663207814E0;-1,125205904E1;3,114411829E0;1,453821045E1
1,850274542E0;9,653551898E0;-1,105024590E1;3,820587664E0;1,516231805E1
1,860246542E0;1,023942303E1;-1,123597685E1;4,304948789E0;1,579954252E1
1,870218542E0;1,043838623E1;-1,209168295E1;4,742613466E0;1,666316555E1
1,880190542E0;1,048960316E1;-1,229268333E1;5,726522689E0;1,714452974E1
1,890162542E0;1,070995432E1;-1,043111580E1;5,997456935E0;1,610840737E1
1,900134542E0;1,183305826E1;-8,056596612E0;6,463350214E0;1,570684287E1
1,910106542E0;1,232738772E1;-8,062449675E0;6,775761099E0;1,621352896E1
1,920078542E0;1,196734425E1;-8,884414998E0;6,647376709E0;1,631985831E1
1,930050542E0;1,164950715E1;-9,095999420E0;6,900927767E0;1,631168374E1
1,940022542E0;1,120176012E1;-8,965453899E0;7,055228772E0;1,598859113E1
1,949994542E0;1,074975047E1;-8,759362936E0;6,915477979E0;1,549539963E1
1,959965542E0;1,013515548E1;-8,464964399E0;7,153796455E0;1,501844874E1
1,969937542E0;9,150896589E0;-7,594652542E0;7,093891146E0;1,384705554E1
1,979909542E0;8,690019636E0;-6,588110501E0;6,818566811E0;1,286127889E1
1,989881542E0;8,712306299E0;-6,223348324E0;6,402614016E0;1,247508764E1
1,999853542E0;8,351293942E0;-6,079433729E0;5,974665073E0;1,193315749E1
2,009825542E0;7,814310215E0;-5,594123601E0;5,872598416E0;1,126255189E1
2,019797542E0;7,185259153E0;-5,273092750E0;5,968630162E0;1,072650932E1
2,029769542E0;6,455124936E0;-5,088723024E0;6,053170960E0;1,020806635E1
2,039741542E0;5,909724727E0;-4,761519853E0;6,159886154E0;9,774513547E0
2,049713542E0;5,406461892E0;-4,411251755E0;6,326950461E0;9,419090952E0
2,059685542E0;4,935131872E0;-3,766677213E0;6,367392728E0;8,893091362E0
2,069657542E0;4,784761366E0;-2,936007139E0;6,249563146E0;8,400661805E0
2,079629542E0;4,942504041E0;-2,694046140E0;6,101915689E0;8,301783295E0
2,089601542E0;5,065044140E0;-2,523056012E0;6,131006171E0;8,343244000E0
2,099572542E0;5,085405314E0;-2,094028843E0;6,272166728E0;8,341845088E0
2,109544542E0;4,949779147E0;-1,570949210E0;6,532845542E0;8,345433835E0
2,119516542E0;4,802814644E0;-1,121562913E0;6,834018663E0;8,427855181E0
2,129488542E0;4,697799820E0;-7,762605625E-1;7,208678421E0;8,639267804E0
2,139460542E0;4,770091871E0;-4,298855406E-1;7,709411166E0;9,075990225E0
2,149432542E0;4,883155387E0;5,063922644E-2;7,966445410E0;9,344090290E0
2,159404542E0;4,877661928E0;5,549843806E-1;8,216844234E0;9,571631142E0
2,169376542E0;4,707647116E0;1,055877923E0;8,503260738E0;9,776618164E0
2,179348542E0;4,445248636E0;1,504384507E0;8,779876723E0;9,955382637E0
2,189320542E0;4,095454747E0;1,919808129E0;9,118232288E0;1,017843666E1
2,199292542E0;3,698233507E0;2,492634119E0;9,386997802E0;1,039258792E1
2,209264542E0;3,379909918E0;3,005228525E0;9,621886886E0;1,063183412E1
2,219236542E0;3,159078124E0;3,438694900E0;9,767737495E0;1,082649957E1
2,229208542E0;2,957432215E0;3,911399601E0;9,927472901E0;1,107249612E1
2,239179542E0;2,736529670E0;4,338061572E0;1,008042671E1;1,131027743E1
2,249151542E0;2,558376119E0;4,686330507E0;1,021008638E1;1,152184212E1
2,259123542E0;2,404882030E0;5,021549041E0;1,025369257E1;1,166780286E1
2,269095542E0;2,252284319E0;5,363937432E0;1,019898602E1;1,174154697E1
2,279067542E0;2,139578068E0;5,616443008E0;1,018239513E1;1,182384865E1
2,289039542E0;2,061880851E0;5,808270273E0;1,026515194E1;1,197333290E1
2,299011542E0;2,148463497E0;5,960515981E0;1,020009231E1;1,200772790E1
2,308983542E0;2,420533272E0;6,044359791E0;1,013949645E1;1,205000643E1
2,318955542E0;2,718899145E0;6,155987231E0;1,018029598E1;1,220356577E1
2,328927542E0;2,905205469E0;6,302572834E0;1,019377615E1;1,233189829E1
2,338899542E0;2,753856724E0;6,855376788E0;9,879797044E0;1,233654358E1
2,348871542E0;3,277167907E0;7,442836019E0;1,000830949E1;1,289580925E1
2,358843542E0;3,436432613E0;6,720121334E0;1,033569392E1;1,279826819E1
2,368815542E0;3,345675640E0;5,772515718E0;9,852029786E0;1,189865430E1
2,378787542E0;3,712905926E0;4,994928423E0;9,603394482E0;1,144378285E1
2,388759542E0;4,374047676E0;4,022535875E0;9,703428063E0;1,137847108E1
2,398730542E0;5,210926908E0;3,486594121E0;9,685735558E0;1,153791884E1
2,408702542E0;5,642324538E0;3,819847991E0;9,861808670E0;1,198675666E1
2,418674542E0;5,668275651E0;4,223824520E0;9,960519025E0;1,221400760E1
2,428646542E0;5,871155323E0;4,194069209E0;9,720433520E0;1,210568086E1
2,438618542E0;6,141984318E0;4,113022122E0;9,614664406E0;1,212776542E1
2,448590542E0;6,502617776E0;4,227194855E0;9,307802528E0;1,211562636E1
2,458562542E0;6,773718667E0;4,255238686E0;8,548020004E0;1,170721858E1
2,468534542E0;7,118648842E0;3,926651478E0;8,215424531E0;1,155798224E1
2,478502542E0;7,557213405E0;3,634192463E0;7,703426540E0;1,138690519E1
2,488474542E0;7,724803376E0;3,469666432E0;6,762635854E0;1,083717749E1
2,498446542E0;7,790585137E0;3,268444446E0;6,031523398E0;1,038052120E1
2,508418542E0;7,897408504E0;3,071020226E0;5,181232408E0;9,932038843E0
2,518390542E0;7,950315281E0;2,666223333E0;4,110266621E0;9,338658985E0
2,528362542E0;7,923787633E0;2,098670948E0;3,364463328E0;8,860611925E0
2,538334542E0;7,885874872E0;1,538270291E0;2,836400405E0;8,520473299E0
2,548305542E0;7,908614109E0;8,044517434E-1;2,340253632E0;8,286742834E0
2,558277542E0;8,079865022E0;-1,896766591E-1;1,950991330E0;8,314238581E0
2,568249542E0;8,652693935E0;-1,281054783E0;1,734595819E0;8,917344691E0
2,578221542E0;9,567598413E0;-2,432934632E0;1,394472348E0;9,970088437E0
2,588193542E0;1,016394717E1;-3,466228269E0;1,366983710E0;1,082539629E1
2,598165542E0;1,073586918E1;-4,276641249E0;1,312617468E0;1,163062818E1
2,608137542E0;1,130498335E1;-4,994178810E0;9,476038617E-1;1,239525811E1
2,618109542E0;1,140354168E1;-5,667514343E0;1,069545205E0;1,277910046E1
2,628081542E0;1,137140772E1;-6,283628440E0;1,467430104E0;1,307464153E1
2,638053542E0;1,129230191E1;-7,157933945E0;1,544305202E0;1,345871388E1
2,648025542E0;1,103122607E1;-7,713025914E0;1,528448723E0;1,354676614E1
2,657997542E0;1,090524196E1;-7,760809361E0;1,765964669E0;1,350085536E1
2,667969542E0;1,086153286E1;-7,949238809E0;2,011411487E0;1,360915390E1
2,677941542E0;1,031681794E1;-8,440200856E0;2,040585877E0;1,348472149E1
2,687913542E0;9,432644091E0;-9,166211032E0;2,073779351E0;1,331520785E1
2,697885542E0;8,640667382E0;-9,700419086E0;2,253263728E0;1,318470556E1
2,707856542E0;7,778904739E0;-1,033660492E1;2,451064509E0;1,316679450E1
2,717828542E0;7,117663001E0;-1,089548881E1;2,108476143E0;1,318402346E1
2,727800542E0;6,500758361E0;-1,138998433E1;1,892119224E0;1,325034782E1
2,737772542E0;5,776837980E0;-1,154027063E1;1,525573062E0;1,299527131E1
2,747744542E0;4,952783446E0;-1,151949431E1;1,144599481E0;1,259122396E1
2,757716542E0;4,208771448E0;-1,152972226E1;7,277333504E-1;1,229544014E1
2,767688542E0;3,608142532E0;-1,151839737E1;1,872231674E-1;1,207175310E1
2,777660542E0;3,170190173E0;-1,135936012E1;-2,661383593E-1;1,179644004E1
2,787632542E0;2,893273056E0;-1,118705320E1;-5,009911913E-1;1,156599241E1
2,797604542E0;2,591294773E0;-1,107602510E1;-1,010397111E0;1,141989680E1
2,807576542E0;2,321729653E0;-1,099656612E1;-1,396125648E0;1,132537248E1
2,817548542E0;2,055384887E0;-1,093634915E1;-1,596564692E0;1,124176848E1
2,827520542E0;1,807059778E0;-1,080174391E1;-1,826392427E0;1,110310073E1
2,837492542E0;1,600227681E0;-1,080299287E1;-2,147632608E0;1,113003636E1
2,847464542E0;1,518806080E0;-1,013439768E1;-2,290019910E0;1,050033235E1
2,857436542E0;1,658831399E0;-9,778011053E0;-2,071891869E0;1,013182894E1
2,867408542E0;1,577896287E0;-9,614233466E0;-2,063294123E0;9,958936914E0
2,877380542E0;1,443209914E0;-9,295808719E0;-2,112288528E0;9,641404329E0
2,887351542E0;1,454453086E0;-9,027225639E0;-2,148154764E0;9,392593114E0
2,897323542E0;1,579989882E0;-8,980011127E0;-2,119955982E0;9,361152773E0
2,907295542E0;1,625496131E0;-8,886483158E0;-2,140745757E0;9,284105395E0
2,917267542E0;1,695322118E0;-8,472953449E0;-2,081843830E0;8,888145531E0
2,927239542E0;1,711471835E0;-8,069706069E0;-1,998222215E0;8,487766721E0
2,937211542E0;1,629563308E0;-7,731858627E0;-2,141909353E0;8,186873034E0
2,947183542E0;1,568138161E0;-7,229735414E0;-2,234812839E0;7,728034671E0
2,957155542E0;1,545514407E0;-6,578460256E0;-2,379475878E0;7,164262668E0
2,967127542E0;1,461762106E0;-5,892338031E0;-2,474259828E0;6,555788101E0
2,977099542E0;1,291507558E0;-5,263004549E0;-2,525019507E0;5,978539301E0
2,987071542E0;1,193290122E0;-4,727768555E0;-2,480285969E0;5,470608313E0
2,997043542E0;1,332916954E0;-4,394757929E0;-2,282967584E0;5,128596869E0
3,007015542E0;1,670760012E0;-4,531614935E0;-2,032605304E0;5,240081799E0
3,016987542E0;2,025692141E0;-4,814211452E0;-1,780611652E0;5,518209711E0
3,026959542E0;2,209093130E0;-4,391717961E0;-1,421655761E0;5,117458765E0
3,036931542E0;2,081231919E0;-3,647428220E0;-1,269543369E0;4,387140217E0
3,046903542E0;2,006516782E0;-3,014582316E0;-1,218226158E0;3,820718664E0
3,056874542E0;2,001886518E0;-2,286139113E0;-1,111951552E0;3,235802517E0
3,066846542E0;1,859821544E0;-1,544185334E0;-1,167172949E0;2,684350427E0
3,076818542E0;1,804879351E0;-8,525070852E-1;-1,160371760E0;2,308856952E0
3,086790542E0;1,846325293E0;-1,872436327E-1;-1,063649750E0;2,139001649E0
3,096762542E0;1,906281180E0;2,678819990E-1;-9,402293533E-1;2,142358500E0
3,106734542E0;2,052483206E0;5,670313990E-1;-7,791371003E-1;2,267436116E0
3,116706542E0;2,323078898E0;7,452539474E-1;-6,322453952E-1;2,520284360E0
3,126678542E0;2,713187877E0;6,287405741E-1;-3,921873719E-1;2,812563617E0
3,136650542E0;3,042294025E0;3,463861316E-1;-2,264445359E-1;3,070311615E0
3,146622542E0;3,313618280E0;7,075540245E-2;-1,242708743E-1;3,316702531E0
3,156594542E0;3,451100353E0;-1,130833966E-1;-8,276792228E-2;3,453944416E0
