"Time (s)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"Altitude WGS84 (m)";"Speed (m/s)";"Direction (°)";"Distance (km)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)";"Satellites"
1,113124667E2;6,508137655E1;2,540320189E1;3,727525436E0;2,122885191E1;1,852180453E0;1,195332501E2;2,060074412E-1;4,464465091E0;3,727343355E0;-1,000000000E0
1,123124501E2;6,508136762E1;2,540322629E1;3,719714041E0;2,122103346E1;1,808989452E0;1,236955400E2;2,075010616E-1;4,444258326E0;3,751413729E0;-1,000000000E0
1,133124328E2;6,508135977E1;2,540325216E1;5,516442943E0;2,301775559E1;1,730440525E0;1,212553036E2;2,093948992E-1;4,441317165E0;3,754895321E0;-1,000000000E0
1,143124169E2;6,508135402E1;2,540329022E1;2,026255082E0;1,952756030E1;1,815691304E0;1,166632994E2;2,118371218E-1;4,462680325E0;3,729480037E0;-1,000000000E0
1,153123993E2;6,508135342E1;2,540334232E1;3,634587628E0;2,113588585E1;2,081944377E0;1,042129051E2;2,136387215E-1;4,451570013E0;3,742734488E0;-1,000000000E0
1,163123823E2;6,508134342E1;2,540337257E1;4,097780479E0;2,159907042E1;2,031332374E0;1,090161954E2;2,154445124E-1;4,441669527E0;3,754478505E0;-1,000000000E0
1,173123649E2;6,508133555E1;2,540340629E1;2,692572712E0;2,019385486E1;1,999310272E0;1,124370553E2;2,175416341E-1;4,432513530E0;3,765283633E0;-1,000000000E0
1,183123487E2;6,508132869E1;2,540344799E1;2,663693632E0;2,016496740E1;2,074132578E0;1,116733920E2;2,192616584E-1;4,429665667E0;3,768633587E0;-1,000000000E0
1,193123312E2;6,508132439E1;2,540348325E1;2,207843053E0;1,970911038E1;1,986200099E0;1,084182684E2;2,209296144E-1;4,431937976E0;3,765961073E0;-1,000000000E0
1,203123137E2;6,508131757E1;2,540351496E1;4,054883760E0;2,155614401E1;1,882212684E0;1,100121289E2;2,225027960E-1;4,420042664E0;3,779915327E0;-1,000000000E0
1,213122970E2;6,508131349E1;2,540354711E1;3,489618898E0;2,099087322E1;1,827478981E0;1,090282836E2;2,247402930E-1;4,405991339E0;3,796284678E0;-1,000000000E0
1,223122803E2;6,508130625E1;2,540359167E1;2,913453365E0;2,041469876E1;2,002413396E0;1,099418032E2;2,264664465E-1;4,410804132E0;3,790691750E0;-1,000000000E0
1,233122628E2;6,508130251E1;2,540362743E1;2,423376567E0;1,992461571E1;1,979775608E0;1,075908571E2;2,284159373E-1;4,425650746E0;3,773347652E0;-1,000000000E0
1,243122458E2;6,508129343E1;2,540366304E1;4,221834482E0;2,172306507E1;2,047780032E0;1,086551221E2;2,301582017E-1;4,419785169E0;3,780216408E0;-1,000000000E0
1,253122288E2;6,508128331E1;2,540369141E1;3,699311229E0;2,120053373E1;1,954211037E0;1,111652697E2;2,322848101E-1;4,409225075E0;3,792528348E0;-1,000000000E0
1,263122122E2;6,508128507E1;2,540373661E1;3,736536170E0;2,123775360E1;2,042643599E0;9,834997463E1;2,341313946E-1;4,384029962E0;3,821625089E0;-1,000000000E0
1,273121953E2;6,508128085E1;2,540377474E1;2,510530307E0;2,001174097E1;2,050126874E0;9,751153117E1;2,359759246E-1;4,378293850E0;3,828195397E0;-1,000000000E0
1,283121781E2;6,508127087E1;2,540380618E1;5,493185046E0;2,299438729E1;1,977494407E0;1,022213909E2;2,383001478E-1;4,376240065E0;3,830543033E0;-1,000000000E0
1,293121610E2;6,508125750E1;2,540384432E1;4,713274417E0;2,221446590E1;2,095862559E0;1,118188938E2;2,401442297E-1;4,387014095E0;3,818199099E0;-1,000000000E0
1,303121440E2;6,508124875E1;2,540387775E1;4,450930222E0;2,195211357E1;2,032255460E0;1,150749699E2;2,425278967E-1;4,387415625E0;3,817737703E0;-1,000000000E0
1,313121271E2;6,508124042E1;2,540392463E1;4,911128664E0;2,241230233E1;2,172653449E0;1,112318208E2;2,443906652E-1;4,383424679E0;3,822319337E0;-1,000000000E0
1,323143585E2;6,508123107E1;2,540395762E1;6,539259180E0;2,404042451E1;2,062793577E0;1,135115087E2;2,466082929E-1;4,371269706E0;3,836214044E0;-1,000000000E0
1,333140508E2;6,508122661E1;2,540400376E1;4,862859176E0;2,236401660E1;2,162817729E0;1,102756014E2;2,484151378E-1;4,363372112E0;3,845194513E0;-1,000000000E0
1,343140384E2;6,508122324E1;2,540404148E1;4,393530567E0;2,189468164E1;2,088812608E0;1,067273005E2;2,501728085E-1;4,350610085E0;3,859628081E0;-1,000000000E0
1,353143735E2;6,508121686E1;2,540407581E1;4,676509652E0;2,217765352E1;2,055966506E0;1,063358632E2;2,522893587E-1;4,342642110E0;3,868591027E0;-1,000000000E0
1,363143891E2;6,508120446E1;2,540411008E1;6,746988958E0;2,424812299E1;2,120788125E0;1,115324383E2;2,535076586E-1;4,338190964E0;3,873581830E0;-1,000000000E0
1,373143755E2;6,508119995E1;2,540413378E1;7,462948329E0;2,496407734E1;1,801602507E0;1,129520052E2;2,555064296E-1;4,305928071E0;3,909414339E0;-1,000000000E0
1,383143885E2;6,508119270E1;2,540417282E1;6,006297044E0;2,350741785E1;1,918268984E0;1,140273423E2;2,573653807E-1;4,305791249E0;3,909565034E0;-1,000000000E0
1,393140785E2;6,508119259E1;2,540421250E1;5,416304341E0;2,291741997E1;1,897534415E0;1,071255544E2;2,591875562E-1;4,304903101E0;3,910542970E0;-1,000000000E0
1,403140600E2;6,508118754E1;2,540424950E1;5,858135925E0;2,335924458E1;1,973513681E0;1,066085523E2;2,607779584E-1;4,304648810E0;3,910822887E0;-1,000000000E0
1,413140620E2;6,508118722E1;2,540428344E1;7,469293138E0;2,497039727E1;1,896016492E0;1,005592344E2;2,627793673E-1;4,327537485E0;3,885480196E0;-1,000000000E0
1,423143997E2;6,508118414E1;2,540432553E1;6,587624364E0;2,408872171E1;2,048017172E0;1,004001640E2;2,645222826E-1;4,363748472E0;3,888675257E0;-1,000000000E0
1,433143852E2;6,508117541E1;2,540435643E1;5,481175125E0;2,298226468E1;2,005700490E0;1,065266536E2;2,661470908E-1;4,408005888E0;3,863315726E0;-1,000000000E0
1,443143961E2;6,508116743E1;2,540438548E1;5,564708510E0;2,306579084E1;1,897427252E0;1,096241749E2;2,680425612E-1;4,433609080E0;3,853164762E0;-1,000000000E0
1,453140938E2;6,508115833E1;2,540441970E1;6,441655491E0;2,394272944E1;1,971860912E0;1,127060745E2;2,696257534E-1;4,457110139E0;3,829574648E0;-1,000000000E0
1,463140811E2;6,508115415E1;2,540445200E1;9,073901502E0;2,657496946E1;1,822520021E0;1,122272912E2;2,716742197E-1;4,489785566E0;3,822002151E0;-1,000000000E0
1,473140687E2;6,508114496E1;2,540448989E1;6,736808716E0;2,423786778E1;1,945128306E0;1,138806731E2;2,731254674E-1;4,511194931E0;3,809706958E0;-1,000000000E0
1,483140571E2;6,508113607E1;2,540451257E1;6,433339383E0;2,393439165E1;1,785037658E0;1,189444385E2;2,746416067E-1;4,529200039E0;3,787342959E0;-1,000000000E0
1,493140446E2;6,508112783E1;2,540453835E1;6,506179243E0;2,400722459E1;1,672292392E0;1,203981550E2;2,764695384E-1;4,542775567E0;3,784299291E0;-1,000000000E0
1,503140326E2;6,508112535E1;2,540457692E1;7,757811578E0;2,525885087E1;1,655112104E0;1,122340418E2;2,784699386E-1;4,537725684E0;3,780564172E0;-1,000000000E0
